Designator,Mid X,Mid Y,Rotation,Layer
C1,119.05,-92.9,270.0,top
C10,118.85,-82.8,270.0,top
C11,116.75,-82.8,270.0,top
C13,101.7,-88.82,90.0,top
C14,102.05,-100.25,90.0,top
C15,102.1,-96.45,270.0,top
C17,112.75,-99.8,0.0,top
C18,110.85,-95.4,0.0,top
C19,112.25,-98.4,90.0,top
C2,116.95,-92.9,270.0,top
C21,121.15,-92.9,270.0,top
C4,102.8,-85.57,90.0,top
C5,103.2,-96.97,90.0,top
C6,111.55,-87.9,270.0,top
C7,101.7,-85.02,270.0,top
C8,112.45,-86.9,90.0,top
C9,110.25,-84.15,0.0,top
D1,107.55,-81.9,180.0,top
D2,107.7,-93.15,180.0,top
D3,115.6,-87.45,270.0,top
D4,99.75,-93.36,270.0,top
D6,115.8,-99.05,270.0,top
J1,125.7,-84.475,270.0,top
J2,98.05,-85.35,270.0,top
J3,125.7,-95.95,270.0,top
Q2,118.6,-97.6375,0.0,top
Q3,102.4,-92.96,270.0,top
Q4,118.34,-86.45,0.0,top
R1,112.95,-88.3,0.0,top
R10,115.45,-85.4,180.0,top
R11,114.2,-101.0,90.0,top
R12,114.35,-98.8,90.0,top
R13,117.3,-88.6,180.0,top
R14,105.1,-90.9,0.0,top
R15,117.9,-99.95,180.0,top
R16,100.25,-95.55,180.0,top
R18,113.25,-98.4,90.0,top
R2,101.7,-86.92,270.0,top
R3,113.35,-86.9,90.0,top
R4,102.6,-87.97,90.0,top
R5,114.35,-88.85,90.0,top
R6,114.25,-86.9,90.0,top
R7,102.1,-98.35,270.0,top
R8,103.0,-99.4,90.0,top
R9,115.7,-97.0,180.0,top
U1,107.19,-87.01,180.0,top
U2,113.7,-92.6,270.0,top
U3,107.8,-98.45,180.0,top
U4,113.5,-82.5,270.0,top
